phase,number_of_observations,share_of_total_observations,negative_n,positive_n,female_n,male_n,diverse_n,gender_na_n,negative_share,positive_share,female_share,male_share,diverse_share,gender_na_share
Phase 4 - Phase 9,14972625,1,14439454,533171,7503233,7431037,0,13458,0.9643902789257061,0.03560972107429392,0.5011300957580919,0.4963082291849292,0,8.988403837002529e-4
Phase 4,1440862,0.09623309205967558,1439118,1744,737608,687779,0,13443,0.9987896134397326,0.0012103865602673956,0.5119213359780465,0.47733856538655334,0,0.009329831725730847
Phase 5,1354524,0.09046670173065845,1353960,564,676204,676012,0,3,0.9995836175660232,4.163824339768066e-4,0.49921891380293004,0.4990771665913635,0,2.2148001807276947e-6
Phase 6,2816456,0.188107028660639,2804831,11625,1401703,1408799,0,10,0.9958724723553288,0.004127527644671176,0.497683258676862,0.5002027370567834,0,3.5505614147709037e-6
Phase 7,7043003,0.47039199873101745,6739160,303843,3449443,3581137,0,2,0.9568588853362692,0.0431411146637308,0.48976878186762096,0.5084673398548886,0,2.8396977823238186e-7
Phase 8,2162325,0.1444185638790793,1953625,208700,1153003,1007201,0,0,0.903483518897483,0.09651648110251697,0.533223729087903,0.4657953822852716,0,0
Phase 9,155455,0.010382614938930215,148760,6695,85272,70109,0,0,0.9569328744652793,0.04306712553472066,0.5485317294393875,0.4509922485606767,0,0
