phase,target,predictors,ratio_lags_used,ratio_lags_significant,ratio_p_values,r_squared,k_used
Phase 8,hospitalizations,"Incidence, Ratio, ICU","1, 4, 5, 6, 8, 11, 13, 14, 15, 17, 19, 20, 21","1, 6, 8, 15, 21","< 0.001, 0.031, < 0.001, < 0.001, 0.005",0.686,10
Phase 8,hospitalizations,"Ratio, Hosp., ICU","1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 17, 20, 21","1, 7, 8, 9, 14, 15","< 0.001, 0.005, < 0.001, 0.045, 0.043, < 0.001",0.73,10
Phase 8,hospitalizations,"Incidence, Ratio","1, 2, 4, 5, 6, 8, 10, 11, 13, 15, 17, 18, 19, 20, 21","1, 8, 15, 21","< 0.001, < 0.001, < 0.001, < 0.001",0.65,10
Phase 8,hospitalizations,"Ratio, Hosp.","1, 2, 5, 6, 8, 9, 10, 11, 14, 15, 17, 19, 20, 21","1, 2, 8, 9, 15, 17, 21","< 0.001, 0.022, < 0.001, 0.048, < 0.001, 0.034, 0.001",0.709,10
Phase 8,hospitalizations,"Ratio, ICU","1, 2, 7, 13, 18, 21","1, 2","< 0.001, 0.004",0.274,10
Phase 8,hospitalizations,Ratio,"1, 2, 5, 7, 11, 13, 14, 16, 17, 20, 21","1, 2, 7, 14, 20, 21","< 0.001, 0.002, 0.002, 0.001, 0.047, 0.001",0.283,10
Phase 8,hospitalizations,"Hosp., ICU",none,none,none,0.743,10
Phase 8,hospitalizations,"Incidence, Hosp., ICU",none,none,none,0.676,10
Phase 8,icu,"Incidence, Ratio, Hosp., ICU","1, 2, 6, 7, 8, 10, 12, 19, 20","12, 19, 20","0.016, 0.013, 0.046",0.925,10
Phase 8,icu,"Incidence, Ratio, Hosp.","1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 20, 21","8, 20","0.009, 0.009",0.551,10
Phase 8,icu,"Incidence, Ratio, ICU","2, 6, 7, 8, 10, 11, 12, 19, 20",19,0.045,0.922,10
Phase 8,icu,"Ratio, Hosp., ICU","1, 2, 6, 7, 8, 10, 12, 19, 20","12, 19","0.013, 0.006",0.925,10
Phase 8,icu,"Incidence, Ratio","1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 20, 21","8, 13, 20","0.031, 0.031, 0.001",0.479,10
Phase 8,icu,"Ratio, Hosp.","1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 20, 21","8, 20","0.009, 0.009",0.52,10
Phase 8,icu,"Ratio, ICU","1, 2, 6, 7, 8, 10, 11, 12, 15, 19, 20","1, 8, 19, 20","0.041, 0.009, 0.012, 0.025",0.919,10
Phase 8,icu,Ratio,"1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 20, 21","10, 11, 13, 20","0.048, 0.048, 0.048, 0.002",0.407,10
Phase 8,icu,"Hosp., ICU",none,none,none,0.912,10
Phase 8,icu,"Incidence, Hosp., ICU",none,none,none,0.911,10
